dataset,path,kind,value,count
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,screen is good .,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,works great !,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,works great .,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,nice keyboard .,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,great product !,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,easy to use .,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,awesome computer .,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,love this computer !,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,don ' t buy it .,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,i love this chromebook !,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,very good purchase .,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk",2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,i love this laptop !,2
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,duplicate_text,it was easy to set up .,2
