language,domain,target_task,conflict_type,aspect_is_null,groups,group_size_distribution,mean_valence_spread,max_valence_spread,mean_arousal_spread,max_arousal_spread,mean_max_va_distance,max_va_distance
eng,laptop,1,category_varies,False,13,"{""2"": 13}",0.14076923076923079,0.25,0.16384615384615384,0.8399999999999999,0.2428254546799809,0.8551023330572779
eng,laptop,1,category_varies,True,2,"{""2"": 2}",0.5099999999999998,0.8999999999999995,0.26000000000000023,0.40000000000000036,0.5772957038321909,0.9848857801796101
eng,laptop,1,opinion_and_category_vary,False,107,"{""2"": 69, ""3"": 24, ""4"": 12, ""5"": 2}",1.0310280373831775,4.33,0.6875700934579438,3.17,1.3018489720230024,4.716990566028302
eng,laptop,1,opinion_and_category_vary,True,68,"{""2"": 41, ""3"": 20, ""4"": 5, ""5"": 1, ""7"": 1}",0.9672058823529411,4.5,0.7589705882352941,3.0,1.2638466506711732,5.408326913195984
eng,laptop,1,opinion_varies,False,306,"{""2"": 268, ""3"": 36, ""4"": 2}",0.5626470588235294,4.25,0.44895424836601305,2.75,0.7709790853824575,4.808846015417836
eng,laptop,1,opinion_varies,True,83,"{""2"": 71, ""3"": 12}",0.4567469879518072,2.83,0.4520481927710844,2.0,0.6765976192405935,3.058512710452582
eng,laptop,1,same_relation_different_va,False,5,"{""2"": 4, ""3"": 1}",0.21399999999999988,0.33999999999999986,0.26799999999999996,0.5,0.34560542976604836,0.6046486583132389
eng,laptop,2,category_varies,False,16,"{""2"": 16}",0.135,0.33000000000000007,0.18,0.8399999999999999,0.25271383665142955,0.8551023330572779
eng,laptop,2,category_varies,True,5,"{""2"": 5}",0.30199999999999994,0.8999999999999995,0.1280000000000001,0.40000000000000036,0.33885940702983064,0.9848857801796101
eng,laptop,2,same_relation_different_va,False,9,"{""2"": 8, ""3"": 1}",0.22999999999999993,0.5,0.26,0.5,0.34913785680037074,0.7071067811865476
eng,laptop,2,same_relation_different_va,True,1,"{""2"": 1}",0.25,0.25,0.0,0.0,0.25,0.25
