language,domain,record_id,text,target_subtask,structure,source_count,vas,opinions,categories
eng,laptop,laptop_quad_dev_34,pros : lightweight and looks nice .,2,"[None, 'pros']",2,"[[6.88, 6.88], [7.0, 7.0]]",['pros'],"['LAPTOP#GENERAL', 'LAPTOP#PORTABILITY']"
eng,laptop,laptop_quad_test_75,"what they lack in size , they make up for in raw speed , durability , and energy efficiency .",2,"[None, None]",2,"[[5.9, 6.3], [6.8, 6.7]]",['NULL'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_test_313,i am in love with how light and speedy it is .,2,"[None, 'love']",2,"[[6.88, 6.75], [7.0, 6.75]]",['love'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_test_596,good performance for the price and my intention as the support for my family was to have everyone on these with a spare to deal with ones that break down .,2,"[None, 'good']",2,"[[6.88, 6.88], [7.0, 7.0]]",['good'],"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_test_598,the reason why i ' m giving this laptop a two star is because overall i think the quality of it is good especially for the price .,2,"['laptop', 'good']",2,"[[6.5, 6.62], [6.62, 6.75]]",['good'],"['LAPTOP#PRICE', 'LAPTOP#QUALITY']"
eng,laptop,laptop_quad_test_728,i love this chromebook .,2,"['chromebook', 'love']",3,"[[6.83, 6.83], [7.0, 7.0], [7.17, 7.17]]",['love'],['LAPTOP#GENERAL']
eng,laptop,laptop_quad_test_779,"great computer , especially for the price .",2,"['computer', 'great']",2,"[[7.33, 7.0], [7.33, 7.17]]",['great'],"['LAPTOP#GENERAL', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_test_812,"it ' s a clean , mean , lean , machine .",2,"['machine', 'clean']",2,"[[6.67, 6.67], [7.17, 7.17]]",['clean'],['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_train_101,it appears the adapter may still be good as there are a few sparks when plugging into power but the charging light on the laptop does not come on and the battery is not charging .,2,"['charging light', None]",2,"[[4.67, 4.33], [4.83, 5.17]]",['NULL'],"['HARDWARE#OPERATION_PERFORMANCE', 'HARDWARE#QUALITY']"
eng,laptop,laptop_quad_train_232,this laptop is the best for the price in my opinion .,2,"['laptop', 'best']",2,"[[7.25, 7.38], [7.38, 7.5]]",['best'],"['LAPTOP#GENERAL', 'LAPTOP#PRICE']"
