language,domain,source_task,target_task,records,source_annotations,projected_groups,collision_groups,safe_collapse_groups,ambiguous_va_groups,invalid_va_groups,null_aspect_groups,null_opinion_groups,collision_rate,ambiguous_va_rate
eng,laptop,3,2,4076,5773,5719,53,22,31,0,1241,1567,0.00926735443259311,0.005420528064346914
eng,laptop,3,1,4076,5773,4958,664,80,584,0,1028,0,0.13392496974586526,0.11778943122226704
eng,restaurant,3,2,2284,3659,3563,93,59,34,0,858,669,0.026101599775470108,0.009542520348021331
eng,restaurant,3,1,2284,3659,3107,467,97,370,0,770,0,0.15030576118442227,0.11908593498551658
jpn,hotel,3,2,1600,2846,2837,9,4,5,0,329,0,0.003172365174480085,0.0017624250969333803
jpn,hotel,3,1,1600,2846,2470,337,15,322,0,282,0,0.13643724696356274,0.13036437246963561
rus,restaurant,3,2,1240,2487,2484,3,3,0,1,0,0,0.0012077294685990338,0.0
rus,restaurant,3,1,1240,2487,1961,394,14,380,1,0,0,0.20091789903110657,0.1937786843447221
tat,restaurant,3,2,1240,2487,2484,3,3,0,1,0,0,0.0012077294685990338,0.0
tat,restaurant,3,1,1240,2487,1964,391,14,377,1,0,0,0.1990835030549898,0.19195519348268839
ukr,restaurant,3,2,1240,2487,2484,3,3,0,1,0,0,0.0012077294685990338,0.0
ukr,restaurant,3,1,1240,2487,1958,397,14,383,1,0,0,0.20275791624106232,0.19560776302349336
zho,laptop,3,2,3490,6502,6501,1,1,0,0,0,0,0.00015382248884786957,0.0
zho,laptop,3,1,3490,6502,5904,504,14,490,0,0,0,0.08536585365853659,0.08299457994579945
zho,restaurant,3,2,6050,8523,8523,0,0,0,0,169,0,0.0,0.0
zho,restaurant,3,1,6050,8523,7476,914,114,800,0,150,0,0.12225789192081327,0.10700909577314072
