path,representation,subtask,language,domain,split,training_scope,records,sha256
categorical/subtask_1/eng/eng_laptop_dev_task1_polarity.jsonl,categorical,1,eng,laptop,dev,task1,200,dcf1b6bd5de48c76deabd775ba4ffa6e89e8198aeb0ef3155e1171444dc16a3b
categorical/subtask_1/eng/eng_laptop_test_task1_polarity.jsonl,categorical,1,eng,laptop,test,task1,1000,626a0474bbb5f14a2c13f8a442062065c0229f7b49fd76fa57e41d71cf63d607
categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,categorical,1,eng,laptop,train,alltasks,4076,2cc35c8b25142f3795ea736152d7699b54a903f88247a767d76e3a400830bf91
categorical/subtask_1/eng/eng_restaurant_dev_task1_polarity.jsonl,categorical,1,eng,restaurant,dev,task1,200,e25e706955e6b531e81a61504f78d45dd4d24e75d86c1e853612c85ba5652a8d
categorical/subtask_1/eng/eng_restaurant_test_task1_polarity.jsonl,categorical,1,eng,restaurant,test,task1,1000,c543bb7ebccb08e6271ace831bcd459b97cbc119e137882cfc9ee4e0ca6e2040
categorical/subtask_1/eng/eng_restaurant_train_alltasks_polarity.jsonl,categorical,1,eng,restaurant,train,alltasks,2284,1295c963d9c8d6cdeaf77f82c1ad1d4e4642aa07cf69ae83c8629c01653b6245
categorical/subtask_1/jpn/jpn_finance_dev_task1_polarity.jsonl,categorical,1,jpn,finance,dev,task1,200,389a01e68b495acc1dfeaaa2c0923ea607ef5e7b004b6cfae2fdaeccabb4f59d
categorical/subtask_1/jpn/jpn_finance_test_task1_polarity.jsonl,categorical,1,jpn,finance,test,task1,800,f58ce169a79972fe59752bbb1eef6faa7358f3fc426f4498ff2c7cc85ef1c37f
categorical/subtask_1/jpn/jpn_finance_train_task1_polarity.jsonl,categorical,1,jpn,finance,train,task1,1024,ed77d97d342b563bd143240436461f931fa138eccac2b94cba63cd67054a082d
categorical/subtask_1/jpn/jpn_hotel_dev_task1_polarity.jsonl,categorical,1,jpn,hotel,dev,task1,200,01b60b3ef7b26371c296140795922ce2ab728ab9842d4b0fe16b1ac9f1ccff15
categorical/subtask_1/jpn/jpn_hotel_test_task1_polarity.jsonl,categorical,1,jpn,hotel,test,task1,800,f1d2277061920aa4a53f934f4013371ee12c57ead2300788fdf94f778d1a24f3
categorical/subtask_1/jpn/jpn_hotel_train_alltasks_polarity.jsonl,categorical,1,jpn,hotel,train,alltasks,1600,2e57a8211d528c72ffc6bcdebf66ebde7fffaaa0bb2e979ce82359ccc66591f9
categorical/subtask_1/rus/rus_restaurant_dev_task1_polarity.jsonl,categorical,1,rus,restaurant,dev,task1,56,87acf5187faa1c2759c70efec2815bd6a32c04f99397e50226c26bce454820db
categorical/subtask_1/rus/rus_restaurant_test_task1_polarity.jsonl,categorical,1,rus,restaurant,test,task1,1072,38d663418e695237de24d6fb20c955d0936464bb51396884f8299ce22679a3a8
categorical/subtask_1/rus/rus_restaurant_train_alltasks_polarity.jsonl,categorical,1,rus,restaurant,train,alltasks,1240,fa983f4ee38151f6e0ec31159d4dfba718fe8cab4a793bc039363feac5c2cb9a
categorical/subtask_1/tat/tat_restaurant_dev_task1_polarity.jsonl,categorical,1,tat,restaurant,dev,task1,56,b772a05a302d3f9a6531ef1015ac2e858f23e53bfa047061744e39250280006c
categorical/subtask_1/tat/tat_restaurant_test_task1_polarity.jsonl,categorical,1,tat,restaurant,test,task1,1072,099d6e29594d5cdbc2d8f288f888612c3f7c175f8ab0681f13cfa9c7e67feaea
categorical/subtask_1/tat/tat_restaurant_train_alltasks_polarity.jsonl,categorical,1,tat,restaurant,train,alltasks,1240,ae78534ce3800f30b5d59e3154bbc3fd569762f3a906a53267dd42bc870d74bd
categorical/subtask_1/ukr/ukr_restaurant_dev_task1_polarity.jsonl,categorical,1,ukr,restaurant,dev,task1,56,cc9f6b0e94cc94d1b8861de7efd7b1ebb8f024c5e55532e833d1108e36d2c482
categorical/subtask_1/ukr/ukr_restaurant_test_task1_polarity.jsonl,categorical,1,ukr,restaurant,test,task1,1072,af10fd2d959752cd3f07b64b2184060265d1e1a2c3991de04c088da0f247e821
