language,domain,record_id,text,target_task,aspect,aspect_is_null,source_count,distinct_va,distinct_opinions,distinct_categories,conflict_type,valence_min,valence_max,valence_spread,arousal_min,arousal_max,arousal_spread,max_va_distance,opinions,categories,vas
eng,laptop,laptop_quad_dev_9,the keyboard is stiff and unresponsive to my typing at times .,1,keyboard,False,2,2,2,1,opinion_varies,3.83,3.83,0.0,6.33,6.5,0.16999999999999993,0.16999999999999993,"[""stiff"", ""unresponsive""]","[""keyboard#quality""]","[[3.83, 6.33], [3.83, 6.5]]"
eng,laptop,laptop_quad_dev_23,external speakers were decent sounding until right one gave away and now is heavily distorted at even mid vol .,1,external speakers,False,2,2,2,1,opinion_varies,5.33,6.67,1.3399999999999999,5.17,6.5,1.33,1.8879883474216677,"[""NULL"", ""decent""]","[""multimedia_devices#general""]","[[5.33, 5.17], [6.67, 6.5]]"
eng,laptop,laptop_quad_dev_25,keyboard is decent with good travel .,1,keyboard,False,2,2,2,1,opinion_varies,6.38,6.5,0.1200000000000001,6.38,6.38,0.0,0.1200000000000001,"[""decent"", ""good""]","[""keyboard#portability""]","[[6.38, 6.38], [6.5, 6.38]]"
eng,laptop,laptop_quad_dev_34,pros : lightweight and looks nice .,2,,True,2,2,1,2,category_varies,6.88,7.0,0.1200000000000001,6.88,7.0,0.1200000000000001,0.16970562748477155,"[""pros""]","[""laptop#general"", ""laptop#portability""]","[[6.88, 6.88], [7.0, 7.0]]"
eng,laptop,laptop_quad_dev_34,pros : lightweight and looks nice .,1,,True,4,4,3,2,opinion_and_category_vary,6.88,7.12,0.2400000000000002,6.88,7.12,0.2400000000000002,0.3394112549695431,"[""lightweight"", ""nice"", ""pros""]","[""laptop#general"", ""laptop#portability""]","[[6.88, 6.88], [6.88, 7.0], [7.0, 7.0], [7.12, 7.12]]"
eng,laptop,laptop_quad_dev_36,"i am so disgusted and disheartened by my dealings with asus support , it ' s hard to believe .",1,asus support,False,2,2,2,1,opinion_varies,2.12,2.25,0.1299999999999999,7.5,7.62,0.1200000000000001,0.1769180601295413,"[""disheartened"", ""so disgusted""]","[""support#quality""]","[[2.12, 7.62], [2.25, 7.5]]"
eng,laptop,laptop_quad_dev_61,"- the battery life is excellent ( i get 6 - 8 hours of normal university student usage out of it ) and even when i ' m using it , it charges as fast as my phone .",1,battery life,False,2,2,2,1,opinion_varies,7.33,7.83,0.5,7.5,7.83,0.33000000000000007,0.5990826320300064,"[""excellent"", ""fast""]","[""battery#operation_performance""]","[[7.33, 7.5], [7.83, 7.83]]"
eng,laptop,laptop_quad_dev_69,"a great chromebook at a very reasonable price , includes the google play store .",1,chromebook,False,2,2,2,2,opinion_and_category_vary,7.0,7.38,0.3799999999999999,7.25,7.5,0.25,0.45486261662176625,"[""great"", ""very reasonable""]","[""laptop#general"", ""laptop#price""]","[[7.0, 7.25], [7.38, 7.5]]"
eng,laptop,laptop_quad_dev_71,"this is a functional laptop , perfect for work and casual internet browsing .",1,laptop,False,2,2,2,1,opinion_varies,7.33,8.0,0.6699999999999999,7.33,7.83,0.5,0.8360023923410745,"[""functional"", ""perfect""]","[""laptop#operation_performance""]","[[7.33, 7.33], [8.0, 7.83]]"
eng,laptop,laptop_quad_dev_79,the chromebook was packaged well and we saw no defects ( ours was used ) .,1,chromebook,False,2,2,2,1,opinion_varies,6.5,7.25,0.75,6.5,7.12,0.6200000000000001,0.9730878685915266,"[""no defects"", ""well""]","[""shipping#quality""]","[[6.5, 6.5], [7.25, 7.12]]"
eng,laptop,laptop_quad_dev_81,"the battery life is incredible and literally lasts all day , not to mention it charges to 100 % in about an hour and a half .",1,battery life,False,2,2,2,2,opinion_and_category_vary,6.5,7.75,1.25,6.5,7.75,1.25,1.7677669529663689,"[""NULL"", ""incredible""]","[""battery#operation_performance"", ""power_supply#operation_performance""]","[[6.5, 6.5], [7.75, 7.75]]"
eng,laptop,laptop_quad_dev_86,excellent laptop good speed on uploads and download .,1,laptop,False,2,2,2,2,opinion_and_category_vary,6.83,8.17,1.3399999999999999,7.0,8.33,1.33,1.8879883474216677,"[""excellent"", ""good""]","[""laptop#general"", ""laptop#operation_performance""]","[[6.83, 7.0], [8.17, 8.33]]"
eng,laptop,laptop_quad_dev_90,light thin best price power laptop,1,laptop,False,3,3,3,2,opinion_and_category_vary,6.38,6.88,0.5,6.12,6.38,0.2599999999999998,0.5635601121442148,"[""best"", ""light"", ""thin""]","[""laptop#design_features"", ""laptop#price""]","[[6.38, 6.12], [6.5, 6.25], [6.88, 6.38]]"
eng,laptop,laptop_quad_dev_93,"overall , this was a good buy and i still love my purchase nonetheless .",1,,True,2,2,2,1,opinion_varies,7.17,7.33,0.16000000000000014,6.83,7.33,0.5,0.5249761899362675,"[""good"", ""still love""]","[""laptop#general""]","[[7.17, 6.83], [7.33, 7.33]]"
eng,laptop,laptop_quad_dev_96,i have always loved loved the kindles .,1,kindles,False,2,2,2,1,opinion_varies,7.38,8.12,0.7399999999999993,7.25,8.0,0.75,1.0536128321162375,"[""NULL"", ""always loved""]","[""laptop#general""]","[[7.38, 7.25], [8.12, 8.0]]"
eng,laptop,laptop_quad_dev_97,my only complaint is that the mouse keypad is a little big .,1,mouse keypad,False,2,2,2,1,opinion_varies,3.75,3.88,0.1299999999999999,6.0,6.0,0.0,0.1299999999999999,"[""a little big"", ""complaint""]","[""mouse#design_features""]","[[3.75, 6.0], [3.88, 6.0]]"
eng,laptop,laptop_quad_dev_105,"it has a full size keyboard , a number pad , a camera , and great big screen !",1,screen,False,2,2,2,1,opinion_varies,8.17,8.17,0.0,8.0,8.17,0.16999999999999993,0.16999999999999993,"[""big"", ""great""]","[""display#design_features""]","[[8.17, 8.0], [8.17, 8.17]]"
eng,laptop,laptop_quad_dev_113,"so android is fun for tablet features , but its like embedding an android inside , without letting android apps out to utilize the full abilities of the chromium system .",1,android,False,2,2,2,1,opinion_varies,5.33,6.83,1.5,5.17,6.83,1.6600000000000001,2.2373198251479383,"[""NULL"", ""fun""]","[""os#general""]","[[5.33, 5.17], [6.83, 6.83]]"
eng,laptop,laptop_quad_dev_117,which is really sad because in the time i could actually use the chromebook i absolutely loved it .,1,chromebook,False,2,2,2,1,opinion_varies,4.0,7.12,3.12,6.5,7.0,0.5,3.159810120877519,"[""absolutely loved"", ""really sad""]","[""laptop#general""]","[[4.0, 6.5], [7.12, 7.0]]"
eng,laptop,laptop_quad_dev_120,another expensive & poorly executed samsung product .,1,samsung product,False,2,2,2,2,opinion_and_category_vary,1.88,2.12,0.2400000000000002,7.88,8.12,0.23999999999999932,0.3394112549695425,"[""expensive"", ""poorly""]","[""laptop#operation_performance"", ""laptop#price""]","[[1.88, 8.12], [2.12, 7.88]]"
eng,laptop,laptop_quad_dev_124,"for home users , these cheap machines fit many use cases from casual browsing and two - screening , to watching videos and calling family .",1,machines,False,2,2,2,2,opinion_and_category_vary,5.75,6.5,0.75,5.25,5.5,0.25,0.7905694150420949,"[""NULL"", ""cheap""]","[""laptop#operation_performance"", ""laptop#price""]","[[5.75, 5.25], [6.5, 5.5]]"
eng,laptop,laptop_quad_dev_126,"the processor on this chromebook is one of the best you can get on a chromebook at this price ( i did plenty of research ) , but you start to notice a lag when you have more than 3 browsers open at once .",1,processor,False,2,2,2,2,opinion_and_category_vary,5.5,8.0,2.5,4.5,7.67,3.17,4.037189616552584,"[""NULL"", ""best""]","[""cpu#operation_performance"", ""cpu#price""]","[[5.5, 4.5], [8.0, 7.67]]"
eng,laptop,laptop_quad_dev_129,i was pleasantly surprised at how good it is .,1,,True,2,2,2,1,opinion_varies,7.67,7.67,0.0,7.67,7.83,0.16000000000000014,0.16000000000000014,"[""good"", ""pleasantly""]","[""laptop#general""]","[[7.67, 7.67], [7.67, 7.83]]"
eng,laptop,laptop_quad_dev_131,i was extremely hesitant to buy a used macbook pro ( it ' s still a lot of money ) but so far am surprisingly pleased with it .,1,macbook pro,False,2,2,2,1,opinion_varies,6.0,7.33,1.33,5.83,7.5,1.67,2.1349004660639332,"[""extremely hesitant"", ""surprisingly pleased""]","[""laptop#general""]","[[6.0, 5.83], [7.33, 7.5]]"
eng,laptop,laptop_quad_dev_145,"neat and sleek build , great display and very nice os",1,build,False,2,2,2,1,opinion_varies,7.0,7.17,0.16999999999999993,7.17,7.33,0.16000000000000014,0.23345235059857508,"[""neat"", ""sleek""]","[""laptop#design_features""]","[[7.0, 7.17], [7.17, 7.33]]"
eng,laptop,laptop_quad_dev_156,it arrived on time and in excellent condition and my hubby has been happily using it now for several weeks with no problems .,1,,True,2,2,2,2,opinion_and_category_vary,7.88,8.12,0.23999999999999932,7.88,8.0,0.1200000000000001,0.2683281572999742,"[""excellent"", ""happily""]","[""laptop#general"", ""shipping#general""]","[[7.88, 7.88], [8.12, 8.0]]"
eng,laptop,laptop_quad_dev_195,i feel like i bought a decent machine but it ' s unable to handle the ram workload .,1,machine,False,2,2,2,2,opinion_and_category_vary,4.0,6.25,2.25,6.12,6.25,0.1299999999999999,2.2537524265100637,"[""NULL"", ""decent""]","[""laptop#general"", ""laptop#operation_performance""]","[[4.0, 6.25], [6.25, 6.12]]"
