dataset,path,records,annotations,annotations_per_record,unique_ids,unique_texts,implicit_aspects,implicit_aspect_rate,implicit_opinions,implicit_opinion_rate,annotation_fields,va_count,invalid_va_count,valence_mean,valence_std,arousal_mean,arousal_std,va_pearson
categorical/subtask_1/eng/laptop/dev,categorical/subtask_1/eng/eng_laptop_dev_task1_polarity.jsonl,200,275,1.375,200,200,0,0.0,0,0.0,"{""Aspect_Polarity"": 200}",0,0,,,,,
categorical/subtask_1/eng/laptop/test,categorical/subtask_1/eng/eng_laptop_test_task1_polarity.jsonl,1000,1421,1.421,1000,1000,0,0.0,0,0.0,"{""Aspect_Polarity"": 1000}",0,0,,,,,
categorical/subtask_1/eng/laptop/train,categorical/subtask_1/eng/eng_laptop_train_alltasks_polarity.jsonl,4076,5773,1.4163395485770363,4076,4052,1254,0.21721808418499913,1583,0.2742075177550667,"{""Quadruplet"": 4076}",0,0,,,,,
categorical/subtask_1/eng/restaurant/dev,categorical/subtask_1/eng/eng_restaurant_dev_task1_polarity.jsonl,200,340,1.7,200,199,0,0.0,0,0.0,"{""Aspect_Polarity"": 200}",0,0,,,,,
categorical/subtask_1/eng/restaurant/test,categorical/subtask_1/eng/eng_restaurant_test_task1_polarity.jsonl,1000,1504,1.504,1000,1000,0,0.0,0,0.0,"{""Aspect_Polarity"": 1000}",0,0,,,,,
categorical/subtask_1/eng/restaurant/train,categorical/subtask_1/eng/eng_restaurant_train_alltasks_polarity.jsonl,2284,3659,1.6020140105078808,2284,2276,880,0.2405028696365127,699,0.19103580213173,"{""Quadruplet"": 2284}",0,0,,,,,
categorical/subtask_1/jpn/finance/dev,categorical/subtask_1/jpn/jpn_finance_dev_task1_polarity.jsonl,200,319,1.595,200,200,0,0.0,0,0.0,"{""Aspect_Polarity"": 200}",0,0,,,,,
categorical/subtask_1/jpn/finance/test,categorical/subtask_1/jpn/jpn_finance_test_task1_polarity.jsonl,800,1302,1.6275,800,800,0,0.0,0,0.0,"{""Aspect_Polarity"": 800}",0,0,,,,,
categorical/subtask_1/jpn/finance/train,categorical/subtask_1/jpn/jpn_finance_train_task1_polarity.jsonl,1024,1672,1.6328125,1024,1024,0,0.0,0,0.0,"{""Quadruplet"": 1024}",0,0,,,,,
categorical/subtask_1/jpn/hotel/dev,categorical/subtask_1/jpn/jpn_hotel_dev_task1_polarity.jsonl,200,284,1.42,200,200,0,0.0,0,0.0,"{""Aspect_Polarity"": 200}",0,0,,,,,
categorical/subtask_1/jpn/hotel/test,categorical/subtask_1/jpn/jpn_hotel_test_task1_polarity.jsonl,800,1092,1.365,800,798,0,0.0,0,0.0,"{""Aspect_Polarity"": 800}",0,0,,,,,
categorical/subtask_1/jpn/hotel/train,categorical/subtask_1/jpn/jpn_hotel_train_alltasks_polarity.jsonl,1600,2846,1.77875,1600,1597,331,0.1163035839775123,0,0.0,"{""Quadruplet"": 1600}",0,0,,,,,
categorical/subtask_1/rus/restaurant/dev,categorical/subtask_1/rus/rus_restaurant_dev_task1_polarity.jsonl,56,81,1.4464285714285714,56,56,0,0.0,0,0.0,"{""Aspect_Polarity"": 56}",0,0,,,,,
categorical/subtask_1/rus/restaurant/test,categorical/subtask_1/rus/rus_restaurant_test_task1_polarity.jsonl,1072,1637,1.5270522388059702,1072,1072,0,0.0,0,0.0,"{""Aspect_Polarity"": 1072}",0,0,,,,,
categorical/subtask_1/rus/restaurant/train,categorical/subtask_1/rus/rus_restaurant_train_alltasks_polarity.jsonl,1240,2487,2.0056451612903228,1240,1240,0,0.0,0,0.0,"{""Quadruplet"": 1240}",0,0,,,,,
categorical/subtask_1/tat/restaurant/dev,categorical/subtask_1/tat/tat_restaurant_dev_task1_polarity.jsonl,56,81,1.4464285714285714,56,56,0,0.0,0,0.0,"{""Aspect_Polarity"": 56}",0,0,,,,,
categorical/subtask_1/tat/restaurant/test,categorical/subtask_1/tat/tat_restaurant_test_task1_polarity.jsonl,1072,1637,1.5270522388059702,1072,1072,0,0.0,0,0.0,"{""Aspect_Polarity"": 1072}",0,0,,,,,
